step,resource,observation_0,action_0,personal_reward_0,empathic_reward_0,combined_reward_0,observation_1,action_1,personal_reward_1,empathic_reward_1,combined_reward_1,observation_2,action_2,personal_reward_2,empathic_reward_2,combined_reward_2,observation_3,action_3,personal_reward_3,empathic_reward_3,combined_reward_3,observation_4,action_4,personal_reward_4,empathic_reward_4,combined_reward_4
41,2901.0,[-0.375],0,0.35,-0.3571428571428571,-0.0071428571428571175,[-0.375],0,0.42,-0.3928571428571428,0.02714285714285719,[-0.3],0,0.27999999999999997,-0.3214285714285714,-0.041428571428571426,[-0.25],1,0.58,-0.3214285714285714,0.25857142857142856,[-0.3],1,0.58,-0.3214285714285714,0.25857142857142856
42,2899.0,[-0.325],1,0.27999999999999997,-0.3928571428571428,-0.11285714285714282,[-0.375],0,0.35,-0.4285714285714285,-0.07857142857142851,[-0.3],1,0.58,-0.3928571428571428,0.18714285714285717,[-0.3],0,0.21,-0.3571428571428571,-0.1471428571428571,[-0.3],1,0.6499999999999999,-0.42857142857142855,0.22142857142857136
43,2897.0,[-0.4],0,0.21,-0.4285714285714285,-0.2185714285714285,[-0.425],0,0.27999999999999997,-0.4642857142857142,-0.18428571428571422,[-0.4],1,0.6499999999999999,-0.49999999999999994,0.14999999999999997,[-0.35],0,0.13999999999999999,-0.3928571428571428,-0.2528571428571428,[-0.425],1,0.6499999999999999,-0.5,0.1499999999999999
44,2894.0,[-0.425],1,0.58,-0.3571428571428571,0.22285714285714286,[-0.475],1,0.6499999999999999,-0.3928571428571428,0.2571428571428571,[-0.5],1,0.72,-0.4285714285714285,0.2914285714285715,[-0.4],0,0.13999999999999999,-0.28571428571428564,-0.14571428571428566,[-0.5],0,0.35,-0.3928571428571428,-0.042857142857142816
45,2890.0,[-0.35],0,0.21,-0.24999999999999997,-0.03999999999999998,[-0.375],1,0.72,-0.3571428571428571,0.3628571428571429,[-0.425],1,0.7899999999999999,-0.3928571428571428,0.39714285714285713,[-0.275],1,0.43999999999999995,-0.21428571428571425,0.2257142857142857,[-0.375],1,0.72,-0.3571428571428571,0.3628571428571429
46,2887.0,[-0.225],0,0.13999999999999999,-0.21428571428571425,-0.07428571428571426,[-0.35],1,0.72,-0.3571428571428571,0.3628571428571429,[-0.375],1,0.7899999999999999,-0.3928571428571428,0.39714285714285713,[-0.2],1,0.51,-0.24999999999999997,0.26,[-0.35],0,0.42,-0.3571428571428571,0.06285714285714289
47,2884.0,[-0.2],0,0.13999999999999999,-0.17857142857142852,-0.038571428571428534,[-0.35],1,0.7899999999999999,-0.3571428571428571,0.43285714285714283,[-0.375],0,0.42,-0.3214285714285714,0.09857142857142859,[-0.225],1,0.58,-0.24999999999999997,0.32999999999999996,[-0.35],1,0.72,-0.3214285714285714,0.3985714285714286
48,2883.0,[-0.15],0,0.13999999999999999,-0.17857142857142855,-0.03857142857142856,[-0.325],0,0.42,-0.3214285714285714,0.09857142857142859,[-0.3],0,0.42,-0.3214285714285714,0.09857142857142859,[-0.225],0,0.27999999999999997,-0.24999999999999997,0.03,[-0.3],1,0.7899999999999999,-0.3571428571428571,0.43285714285714283
49,2880.0,[-0.15],1,0.43999999999999995,-0.21428571428571425,0.2257142857142857,[-0.3],1,0.72,-0.3571428571428571,0.3628571428571429,[-0.3],1,0.72,-0.3571428571428571,0.3628571428571429,[-0.225],0,0.27999999999999997,-0.2857142857142857,-0.005714285714285727,[-0.325],1,0.42,-0.3571428571428571,0.06285714285714289
50,2877.0,[-0.175],0,0.13999999999999999,-0.14285714285714282,-0.002857142857142836,[-0.325],1,0.72,-0.2857142857142857,0.4342857142857143,[-0.325],1,0.7899999999999999,-0.3214285714285714,0.4685714285714285,[-0.25],0,0.27999999999999997,-0.21428571428571427,0.0657142857142857,[-0.325],1,0.7899999999999999,-0.3214285714285714,0.4685714285714285
