step,resource,emotion_0,emotion_1,emotion_2,emotion_3,emotion_4,reward_0,reward_1,reward_2,reward_3,reward_4,action_0,action_1,action_2,action_3,action_4
15,1966.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3,0.3,0.25390625,0.25390625,1.453125,0.30078125,0.30078125,0,0,1,0,0
16,1964.0,0.15625,0.15625,0.6875,0.28125,0.28125,1.5110294117647058,0.3125,0.3235294117647059,0.35661764705882354,1.5551470588235294,1,0,0,0,1
17,1961.0,0.6764705882352942,0.14705882352941177,0.17647058823529413,0.2647058823529412,0.7941176470588236,0.3854166666666667,1.5729166666666665,1.5833333333333333,0.41666666666666663,1.625,0,1,1,0,1
18,1956.0,0.16666666666666666,0.6666666666666666,0.6944444444444444,0.25,0.8055555555555556,1.7138157894736843,1.7138157894736843,1.723684210526316,1.743421052631579,1.763157894736842,1,1,1,1,1
19,1952.0,0.6842105263157895,0.6842105263157895,0.7105263157894737,0.763157894736842,0.8157894736842105,1.6625,1.6625,0.475,1.690625,1.709375,1,1,0,1,1
20,1949.0,0.7,0.7,0.2,0.775,0.825,1.6071428571428572,0.4107142857142857,1.6071428571428572,1.6339285714285714,0.45535714285714285,1,0,1,1,0
21,1948.0,0.7142857142857143,0.19047619047619047,0.7142857142857143,0.7857142857142857,0.30952380952380953,0.2869318181818182,0.27840909090909094,1.4829545454545454,0.3125,0.3210227272727273,0,0,1,0,0
22,1946.0,0.20454545454545456,0.18181818181818182,0.7272727272727273,0.2727272727272727,0.29545454545454547,1.5407608695652173,0.3369565217391304,1.5489130434782608,0.3695652173913043,0.3777173913043478,1,0,1,0,0
23,1943.0,0.717391304347826,0.17391304347826086,0.7391304347826086,0.2608695652173913,0.2826086956521739,1.609375,1.59375,1.6171875,0.4296875,0.4375,1,1,1,0,0
24,1941.0,0.7291666666666666,0.6875,0.75,0.25,0.2708333333333333,1.55,1.535,0.3625,0.3625,0.37,1,1,0,0,0
25,1938.0,0.74,0.7,0.24,0.24,0.26,0.42307692307692313,1.6033653846153846,1.6177884615384617,0.42307692307692313,1.625,0,1,1,0,1
26,1936.0,0.23076923076923078,0.7115384615384616,0.75,0.23076923076923078,0.7692307692307692,0.35648148148148145,0.34953703703703703,1.5578703703703705,0.35648148148148145,1.5648148148148149,0,0,1,0,1
27,1934.0,0.2222222222222222,0.2037037037037037,0.7592592592592593,0.2222222222222222,0.7777777777777778,1.546875,0.34598214285714285,0.3660714285714286,1.546875,0.37276785714285715,1,0,0,1,0
28,1934.0,0.7321428571428572,0.19642857142857142,0.25,0.7321428571428572,0.26785714285714285,0.22629310344827586,0.21336206896551724,0.2327586206896552,0.22629310344827586,0.23922413793103448,0,0,0,0,0
29,1930.0,0.22413793103448276,0.1896551724137931,0.2413793103448276,0.22413793103448276,0.25862068965517243,0.47708333333333336,1.6583333333333332,1.6770833333333333,1.6708333333333334,1.6833333333333333,0,1,1,1,1
30,1927.0,0.21666666666666667,0.7,0.75,0.7333333333333334,0.7666666666666666,0.41330645161290325,1.6008064516129032,0.4254032258064516,1.6129032258064515,1.625,0,1,0,1,1
31,1927.0,0.20967741935483872,0.7096774193548387,0.24193548387096775,0.7419354838709677,0.7741935483870968,0.21875,0.21875,0.23046875,0.23046875,0.2421875,0,0,0,0,0
32,1925.0,0.203125,0.203125,0.234375,0.234375,0.265625,0.34090909090909094,0.34090909090909094,1.5454545454545454,0.35227272727272724,1.5568181818181817,0,0,1,0,1
33,1924.0,0.19696969696969696,0.19696969696969696,0.7424242424242424,0.22727272727272727,0.7727272727272727,0.27389705882352944,0.27389705882352944,0.2904411764705882,1.4779411764705883,0.30147058823529416,0,0,0,1,0
34,1923.0,0.19117647058823528,0.19117647058823528,0.23529411764705882,0.7352941176470589,0.2647058823529412,0.26964285714285713,0.26964285714285713,0.2857142857142857,0.2857142857142857,1.4892857142857143,0,0,0,0,1
