step,resource,observation_0,action_0,personal_reward_0,empathic_reward_0,combined_reward_0,observation_1,action_1,personal_reward_1,empathic_reward_1,combined_reward_1,observation_2,action_2,personal_reward_2,empathic_reward_2,combined_reward_2,observation_3,action_3,personal_reward_3,empathic_reward_3,combined_reward_3,observation_4,action_4,personal_reward_4,empathic_reward_4,combined_reward_4
52,2878.0,[-0.2],1,0.58,-0.25,-0.25,[-0.15],0,0.13999999999999999,-0.15,-0.15,[-0.15],0,0.21,-0.19999999999999998,-0.19999999999999998,[-0.3],1,0.72,-0.35,-0.35,[-0.2],0,0.27999999999999997,-0.25,-0.25
53,2876.0,[-0.25],0,0.21,-0.19999999999999998,-0.19999999999999998,[-0.15],0,0.13999999999999999,-0.15,-0.15,[-0.2],1,0.58,-0.25,-0.25,[-0.35],1,0.72,-0.35,-0.35,[-0.25],0,0.27999999999999997,-0.25,-0.25
54,2873.0,[-0.2],1,0.58,-0.2,-0.2,[-0.15],1,0.51,-0.15,-0.15,[-0.25],0,0.21,-0.15,-0.15,[-0.35],0,0.35,-0.25,-0.25,[-0.25],1,0.6499999999999999,-0.25,-0.25
55,2871.0,[-0.2],1,0.58,-0.24999999999999997,-0.24999999999999997,[-0.15],1,0.58,-0.24999999999999997,-0.24999999999999997,[-0.15],0,0.21,-0.19999999999999996,-0.19999999999999996,[-0.25],0,0.27999999999999997,-0.24999999999999997,-0.24999999999999997,[-0.25],0,0.27999999999999997,-0.24999999999999997,-0.24999999999999997
56,2868.0,[-0.25],0,0.27999999999999997,-0.19999999999999998,-0.19999999999999998,[-0.25],0,0.27999999999999997,-0.19999999999999998,-0.19999999999999998,[-0.2],1,0.51,-0.14999999999999997,-0.14999999999999997,[-0.25],1,0.6499999999999999,-0.24999999999999997,-0.24999999999999997,[-0.25],1,0.58,-0.19999999999999998,-0.19999999999999998
57,2867.0,[-0.2],0,0.27999999999999997,-0.24999999999999997,-0.24999999999999997,[-0.2],0,0.27999999999999997,-0.24999999999999997,-0.24999999999999997,[-0.15],0,0.13999999999999999,-0.14999999999999997,-0.14999999999999997,[-0.25],1,0.6499999999999999,-0.29999999999999993,-0.29999999999999993,[-0.2],1,0.27999999999999997,-0.24999999999999997,-0.24999999999999997
58,2864.0,[-0.25],1,0.6499999999999999,-0.2,-0.2,[-0.25],1,0.6499999999999999,-0.2,-0.2,[-0.15],1,0.51,-0.1,-0.1,[-0.3],0,0.35,-0.2,-0.2,[-0.25],0,0.21,-0.1,-0.1
59,2864.0,[-0.2],0,0.35,-0.2,-0.2,[-0.2],0,0.35,-0.2,-0.2,[-0.1],0,0.21,-0.1,-0.1,[-0.2],0,0.35,-0.2,-0.2,[-0.1],0,0.21,-0.1,-0.1
60,2862.0,[-0.2],1,0.72,-0.2,-0.2,[-0.2],0,0.27999999999999997,-0.10000000000000003,-0.10000000000000003,[-0.1],0,0.21,-0.05000000000000002,-0.05000000000000002,[-0.2],1,0.72,-0.2,-0.2,[-0.1],0,0.21,-0.05000000000000002,-0.05000000000000002
61,2860.0,[-0.2],1,0.72,-0.3,-0.3,[-0.1],0,0.21,-0.15,-0.15,[-0.05],1,0.58,-0.2,-0.2,[-0.2],0,0.35,-0.25,-0.25,[-0.05],0,0.13999999999999999,-0.1,-0.1
62,2858.0,[-0.3],0,0.35,-0.24999999999999997,-0.24999999999999997,[-0.15],1,0.58,-0.19999999999999998,-0.19999999999999998,[-0.2],1,0.6499999999999999,-0.24999999999999997,-0.24999999999999997,[-0.25],0,0.27999999999999997,-0.19999999999999998,-0.19999999999999998,[-0.1],0,0.13999999999999999,-0.09999999999999998,-0.09999999999999998
63,2856.0,[-0.25],0,0.35,-0.24999999999999997,-0.24999999999999997,[-0.2],1,0.6499999999999999,-0.24999999999999997,-0.24999999999999997,[-0.25],0,0.27999999999999997,-0.19999999999999998,-0.19999999999999998,[-0.2],1,0.58,-0.19999999999999998,-0.19999999999999998,[-0.1],0,0.13999999999999999,-0.09999999999999998,-0.09999999999999998
64,2855.0,[-0.25],1,0.6499999999999999,-0.35,-0.35,[-0.25],0,0.27999999999999997,-0.3,-0.3,[-0.2],0,0.27999999999999997,-0.3,-0.3,[-0.2],0,0.27999999999999997,-0.3,-0.3,[-0.1],0,0.06999999999999999,-0.14999999999999997,-0.14999999999999997
65,2853.0,[-0.35],0,0.27999999999999997,-0.29999999999999993,-0.29999999999999993,[-0.3],1,0.58,-0.29999999999999993,-0.29999999999999993,[-0.3],0,0.27999999999999997,-0.29999999999999993,-0.29999999999999993,[-0.3],0,0.27999999999999997,-0.29999999999999993,-0.29999999999999993,[-0.15],1,0.43999999999999995,-0.19999999999999996,-0.19999999999999996
66,2852.0,[-0.3],1,0.6499999999999999,-0.45,-0.45,[-0.3],0,0.27999999999999997,-0.4,-0.4,[-0.3],0,0.21,-0.35,-0.35,[-0.3],0,0.21,-0.35,-0.35,[-0.2],0,0.06999999999999999,-0.25,-0.25
67,2849.0,[-0.45],1,0.72,-0.4,-0.4,[-0.4],0,0.27999999999999997,-0.30000000000000004,-0.30000000000000004,[-0.35],0,0.21,-0.25,-0.25,[-0.35],1,0.51,-0.25,-0.25,[-0.25],1,0.43999999999999995,-0.2,-0.2
68,2848.0,[-0.4],1,0.72,-0.5,-0.5,[-0.3],0,0.21,-0.35,-0.35,[-0.25],0,0.13999999999999999,-0.30000000000000004,-0.30000000000000004,[-0.25],0,0.21,-0.35,-0.35,[-0.2],0,0.13999999999999999,-0.30000000000000004,-0.30000000000000004
69,2846.0,[-0.5],1,0.7899999999999999,-0.44999999999999996,-0.44999999999999996,[-0.35],1,0.58,-0.30000000000000004,-0.30000000000000004,[-0.3],0,0.13999999999999999,-0.2,-0.2,[-0.35],0,0.21,-0.25,-0.25,[-0.3],0,0.13999999999999999,-0.2,-0.2
70,2843.0,[-0.45],1,0.7899999999999999,-0.4,-0.4,[-0.3],1,0.6499999999999999,-0.30000000000000004,-0.30000000000000004,[-0.2],0,0.13999999999999999,-0.15000000000000002,-0.15000000000000002,[-0.25],1,0.51,-0.2,-0.2,[-0.2],0,0.13999999999999999,-0.15000000000000002,-0.15000000000000002
