simulation_number,seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_personal_reward_2,total_personal_reward_3,total_personal_reward_4,total_personal_reward_5,total_empathic_reward_0,total_empathic_reward_1,total_empathic_reward_2,total_empathic_reward_3,total_empathic_reward_4,total_empathic_reward_5,total_combined_reward_0,total_combined_reward_1,total_combined_reward_2,total_combined_reward_3,total_combined_reward_4,total_combined_reward_5,simulation_index,episodes,emotion,see_emotions,alpha,beta,smoothing,threshold,rounder,learning_rate,gamma,epsilon,epsilon_decay,epsilon_min,batch_size,hidden_size,update_target_every,random_suffix,suffix,source
2,2,0,1000,2.0,500,1000,85.99999999999942,78.99999999999945,86.99999999999946,76.99999999999955,83.99999999999962,84.99999999999956,-835.2000000000004,-832.3999999999995,-835.5999999999982,-831.599999999999,-834.3999999999992,-834.7999999999989,-374.5999999999993,-376.6999999999994,-374.2999999999993,-377.2999999999994,-375.19999999999936,-374.8999999999994,2,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,312561,episode_summary,gametheoretic
2,2,1,1000,3.0,500,1000,83.99999999999959,94.99999999999956,80.99999999999946,80.99999999999932,76.99999999999956,78.99999999999953,-834.7999999999995,-839.2000000000004,-833.6000000000004,-833.5999999999988,-831.9999999999995,-832.7999999999993,-375.4000000000003,-372.1000000000002,-376.3000000000003,-376.3000000000005,-377.50000000000034,-376.9000000000004,2,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,312561,episode_summary,gametheoretic
2,2,2,1000,1.0,500,1000,88.99999999999926,76.99999999999946,78.9999999999996,87.99999999999946,83.99999999999955,81.99999999999945,-836.0000000000024,-831.2000000000027,-832.000000000002,-835.6000000000022,-834.000000000001,-833.2000000000025,-373.50000000000045,-377.1000000000005,-376.50000000000034,-373.8000000000005,-375.00000000000057,-375.6000000000006,2,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,312561,episode_summary,gametheoretic
2,2,3,1000,1.0,500,1000,80.99999999999946,83.99999999999945,78.99999999999946,86.99999999999957,80.99999999999952,86.99999999999942,-832.8000000000005,-834.0,-832.0000000000005,-835.2000000000007,-832.8000000000006,-835.2000000000013,-375.9000000000008,-375.00000000000057,-376.5000000000007,-374.1000000000005,-375.9000000000007,-374.1000000000007,2,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,312561,episode_summary,gametheoretic
2,2,4,1000,1.0,500,1000,93.99999999999932,86.99999999999957,77.99999999999957,77.99999999999947,77.99999999999945,83.99999999999957,-838.0000000000011,-835.2000000000013,-831.600000000002,-831.5999999999998,-831.6000000000021,-834.0000000000017,-372.0000000000001,-374.1,-376.8,-376.8,-376.8000000000002,-375.00000000000006,2,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,312561,episode_summary,gametheoretic
2,2,5,1000,2.0,500,1000,90.9999999999995,82.99999999999932,86.99999999999957,82.99999999999943,76.99999999999967,76.9999999999996,-837.1999999999998,-833.9999999999995,-835.6000000000004,-834.0000000000002,-831.5999999999997,-831.5999999999996,-373.0999999999992,-375.4999999999993,-374.2999999999992,-375.4999999999993,-377.2999999999991,-377.2999999999991,2,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,312561,episode_summary,gametheoretic
2,2,6,1000,0.0,500,1000,93.9999999999995,75.99999999999956,84.9999999999994,99.99999999999925,72.99999999999959,71.99999999999963,-837.6000000000013,-830.4000000000005,-834.0,-839.9999999999991,-829.1999999999997,-828.8000000000002,-371.80000000000007,-377.2,-374.5000000000002,-370.0000000000004,-378.1000000000004,-378.4000000000002,2,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,312561,episode_summary,gametheoretic
3,3,0,1000,3.0,500,1000,87.99999999999956,75.9999999999995,92.99999999999956,88.99999999999963,69.99999999999955,80.99999999999949,-836.3999999999997,-831.5999999999991,-838.3999999999991,-836.7999999999992,-829.199999999999,-833.5999999999989,-374.1999999999991,-377.799999999999,-372.6999999999991,-373.89999999999895,-379.5999999999991,-376.2999999999991,3,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,3740,episode_summary,gametheoretic
3,3,1,1000,3.0,500,1000,89.99999999999937,97.99999999999936,81.99999999999943,80.99999999999943,69.99999999999955,75.99999999999946,-837.2000000000012,-840.4000000000008,-834.0000000000015,-833.6000000000003,-829.2000000000006,-831.6000000000013,-373.6,-371.2000000000001,-376.0,-376.3000000000001,-379.6000000000001,-377.8000000000001,3,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,3740,episode_summary,gametheoretic
3,3,2,1000,1.0,500,1000,87.99999999999945,86.99999999999942,72.99999999999957,76.9999999999994,90.99999999999966,82.99999999999949,-835.6000000000009,-835.2000000000013,-829.6000000000018,-831.2000000000007,-836.8000000000022,-833.6000000000012,-373.8000000000011,-374.1000000000012,-378.30000000000086,-377.10000000000105,-372.9000000000009,-375.3000000000009,3,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,3740,episode_summary,gametheoretic
