simulation_number,seed,episode,step,resource_remaining,initial_resources,max_step,observation_0,observation_1,observation_2,action_0,action_1,action_2,personal_reward_0,personal_reward_1,personal_reward_2,empathic_reward_0,empathic_reward_1,empathic_reward_2,total_reward_0,total_reward_1,total_reward_2
0,0,0,94,18.0,100,500,[-0.5],0,0.1,-0.6,-0.25,[-0.8],0,0.2,-0.8,-0.30000000000000004,[-0.3],0,0.0,-0.39999999999999997,-0.19999999999999998
0,0,0,95,18.0,100,500,[-0.6],0,0.1,-0.6,-0.25,[-0.8],0,0.2,-0.8,-0.30000000000000004,[-0.4],1,0.0,-0.39999999999999997,-0.19999999999999998
0,0,0,96,18.0,100,500,[-0.6],0,0.1,-0.7,-0.3,[-0.8],0,0.15,-0.8,-0.325,[-0.4],0,0.0,-0.5,-0.25
0,0,0,97,18.0,100,500,[-0.7],0,0.1,-0.7,-0.3,[-0.8],1,0.15,-0.8,-0.325,[-0.5],1,0.0,-0.5,-0.25
0,0,0,98,17.0,100,500,[-0.7],0,0.1,-0.7,-0.3,[-0.8],1,0.1,-0.7,-0.3,[-0.5],1,0.55,-0.6,-0.024999999999999967
0,0,0,99,17.0,100,500,[-0.7],0,0.1,-0.7,-0.3,[-0.7],0,0.1,-0.7,-0.3,[-0.6],0,0.05,-0.6,-0.27499999999999997
0,0,0,100,17.0,100,500,[-0.7],0,0.1,-0.8,-0.35000000000000003,[-0.7],0,0.05,-0.7,-0.32499999999999996,[-0.6],0,0.05,-0.7,-0.32499999999999996
0,0,0,101,17.0,100,500,[-0.8],0,0.1,-0.8,-0.35000000000000003,[-0.7],0,0.05,-0.7,-0.32499999999999996,[-0.7],0,0.05,-0.7,-0.32499999999999996
0,0,0,102,17.0,100,500,[-0.8],0,0.05,-0.8,-0.375,[-0.7],0,0.05,-0.8,-0.375,[-0.7],0,0.05,-0.8,-0.375
0,0,0,103,17.0,100,500,[-0.8],1,0.0,-0.9,-0.45,[-0.8],0,0.0,-0.9,-0.45,[-0.8],1,0.05,-1.0,-0.475
0,0,0,104,17.0,100,500,[-0.9],0,0.0,-0.9,-0.45,[-0.9],1,0.0,-0.9,-0.45,[-1.],0,0.05,-1.0,-0.475
0,0,0,105,17.0,100,500,[-0.9],1,0.0,-0.9,-0.45,[-0.9],0,0.0,-0.9,-0.45,[-1.],0,0.05,-1.0,-0.475
0,0,0,106,17.0,100,500,[-0.9],1,0.0,-0.9,-0.45,[-0.9],0,0.0,-0.9,-0.45,[-1.],0,0.05,-1.0,-0.475
0,0,0,107,17.0,100,500,[-0.9],0,0.0,-0.9,-0.45,[-0.9],1,0.0,-0.9,-0.45,[-1.],0,0.05,-1.0,-0.475
0,0,0,108,17.0,100,500,[-0.9],1,0.0,-1.0,-0.5,[-0.9],1,0.0,-1.0,-0.5,[-1.],0,0.0,-1.0,-0.5
0,0,0,109,17.0,100,500,[-1.],1,0.0,-1.0,-0.5,[-1.],1,0.0,-1.0,-0.5,[-1.],0,0.0,-1.0,-0.5
0,0,0,110,17.0,100,500,[-1.],1,0.0,-1.0,-0.5,[-1.],1,0.0,-1.0,-0.5,[-1.],0,0.0,-1.0,-0.5
0,0,0,111,17.0,100,500,[-1.],1,0.0,-1.0,-0.5,[-1.],1,0.0,-1.0,-0.5,[-1.],0,0.0,-1.0,-0.5
0,0,0,112,17.0,100,500,[-1.],1,0.0,-1.0,-0.5,[-1.],1,0.0,-1.0,-0.5,[-1.],0,0.0,-1.0,-0.5
0,0,0,113,16.0,100,500,[-1.],1,0.55,-1.0,-0.22499999999999998,[-1.],1,0.0,-0.9,-0.45,[-1.],0,0.0,-0.9,-0.45
0,0,0,114,16.0,100,500,[-1.],0,0.05,-1.0,-0.475,[-0.9],1,0.0,-0.9,-0.45,[-0.9],0,0.0,-0.9,-0.45
0,0,0,115,16.0,100,500,[-1.],1,0.05,-1.0,-0.475,[-0.9],0,0.0,-0.9,-0.45,[-0.9],0,0.0,-0.9,-0.45
0,0,0,116,16.0,100,500,[-1.],1,0.05,-1.0,-0.475,[-0.9],0,0.0,-0.9,-0.45,[-0.9],0,0.0,-0.9,-0.45
0,0,0,117,16.0,100,500,[-1.],1,0.05,-1.0,-0.475,[-0.9],1,0.0,-0.9,-0.45,[-0.9],1,0.0,-0.9,-0.45
0,0,0,118,16.0,100,500,[-1.],0,0.05,-1.0,-0.475,[-0.9],1,0.0,-0.9,-0.45,[-0.9],0,0.0,-0.9,-0.45
0,0,0,119,16.0,100,500,[-1.],1,0.05,-1.0,-0.475,[-0.9],1,0.0,-0.9,-0.45,[-0.9],0,0.0,-0.9,-0.45
0,0,0,120,15.0,100,500,[-1.],1,0.6,-1.0,-0.2,[-0.9],1,0.0,-0.8,-0.4,[-0.9],1,0.0,-0.8,-0.4
0,0,0,121,14.0,100,500,[-1.],0,0.1,-0.9,-0.4,[-0.8],1,0.0,-0.7,-0.35,[-0.8],1,0.55,-0.8,-0.125
0,0,0,122,14.0,100,500,[-0.9],1,0.1,-0.9,-0.4,[-0.7],1,0.0,-0.7,-0.35,[-0.8],1,0.05,-0.8,-0.375
0,0,0,123,13.0,100,500,[-0.9],1,0.05,-0.8,-0.375,[-0.7],1,0.55,-0.8,-0.125,[-0.8],0,0.05,-0.8,-0.375
0,0,0,124,12.0,100,500,[-0.8],1,0.05,-0.7,-0.32499999999999996,[-0.8],1,0.6,-0.8,-0.10000000000000003,[-0.8],0,0.05,-0.7,-0.32499999999999996
0,0,0,125,12.0,100,500,[-0.7],0,0.05,-0.7,-0.32499999999999996,[-0.8],1,0.1,-0.8,-0.35000000000000003,[-0.7],1,0.05,-0.7,-0.32499999999999996
0,0,0,126,12.0,100,500,[-0.7],0,0.05,-0.7,-0.32499999999999996,[-0.8],0,0.1,-0.8,-0.35000000000000003,[-0.7],0,0.05,-0.7,-0.32499999999999996
0,0,0,127,12.0,100,500,[-0.7],1,0.05,-0.7,-0.32499999999999996,[-0.8],1,0.1,-0.8,-0.35000000000000003,[-0.7],0,0.05,-0.7,-0.32499999999999996
0,0,0,128,12.0,100,500,[-0.7],1,0.05,-0.7,-0.32499999999999996,[-0.8],0,0.1,-0.8,-0.35000000000000003,[-0.7],0,0.05,-0.7,-0.32499999999999996
0,0,0,129,12.0,100,500,[-0.7],0,0.05,-0.7,-0.32499999999999996,[-0.8],1,0.1,-0.8,-0.35000000000000003,[-0.7],1,0.05,-0.7,-0.32499999999999996
0,0,0,130,11.0,100,500,[-0.7],1,0.55,-0.7,-0.07499999999999996,[-0.8],0,0.1,-0.8,-0.35000000000000003,[-0.7],1,0.05,-0.7,-0.32499999999999996
0,0,0,131,11.0,100,500,[-0.7],1,0.05,-0.8,-0.375,[-0.8],0,0.1,-0.9,-0.4,[-0.7],0,0.0,-0.7,-0.35
0,0,0,132,11.0,100,500,[-0.8],0,0.05,-0.8,-0.375,[-0.9],1,0.1,-0.9,-0.4,[-0.7],1,0.0,-0.7,-0.35
0,0,0,133,11.0,100,500,[-0.8],0,0.05,-0.9,-0.425,[-0.9],0,0.05,-0.9,-0.425,[-0.7],0,0.0,-0.8,-0.4
